Name,Description,Age,Gender,Color
Max,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",1,Male,White
Bella,"Energetic and curious, always exploring and eager to meet new friends. Loves outdoor adventures and keeps you on your toes.",9,Male,Black
Charlie,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",15,Male,Gray
Lucy,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",5,Male,Golden
Cooper,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,8,Male,Golden
Daisy,"Calm and loving, this dog prefers lounging by your side but still enjoys occasional playtime. Very affectionate and great with families.",15,Female,Brown
Buddy,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",2,Male,White
Luna,"Shy but loving, may take time to warm up but becomes deeply attached once comfortable. A loyal and sweet companion.",5,Male,Tricolor
Rocky,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",4,Male,White
Sadie,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",12,Male,Red
Milo,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",4,Female,Brindle
Molly,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",9,Female,Black
Bear,"Energetic and curious, always exploring and eager to meet new friends. Loves outdoor adventures and keeps you on your toes.",13,Male,Black
Bailey,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",7,Male,White
Duke,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",13,Male,Golden
Maggie,"Shy but loving, may take time to warm up but becomes deeply attached once comfortable. A loyal and sweet companion.",10,Female,Golden
Tucker,"Energetic and curious, always exploring and eager to meet new friends. Loves outdoor adventures and keeps you on your toes.",2,Male,Tricolor
Chloe,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,9,Female,Red
Jack,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",8,Female,Black
Sophie,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",14,Male,Tricolor
Oliver,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",10,Male,Golden
Zoey,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",13,Male,Tricolor
Bentley,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",13,Male,Brindle
Lily,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",6,Female,Golden
Jake,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",8,Male,Spotted
Stella,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",6,Male,Red
Toby,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",9,Male,Gray
Penny,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",15,Male,Black
Zeus,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",12,Female,Brown
Gracie,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",14,Female,Brindle
Harley,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",3,Female,Cream
Roxy,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",4,Female,Gray
Leo,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",15,Male,Brown
Abby,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",5,Male,Golden
Jax,"Energetic and curious, always exploring and eager to meet new friends. Loves outdoor adventures and keeps you on your toes.",4,Male,Cream
Rosie,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",2,Male,White
Finn,"Calm and loving, this dog prefers lounging by your side but still enjoys occasional playtime. Very affectionate and great with families.",9,Male,White
Ruby,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",10,Male,Brindle
Winston,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",3,Male,White
Ellie,"Shy but loving, may take time to warm up but becomes deeply attached once comfortable. A loyal and sweet companion.",9,Female,Cream
Murphy,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",2,Male,Cream
Lola,"Calm and loving, this dog prefers lounging by your side but still enjoys occasional playtime. Very affectionate and great with families.",7,Female,Red
Louie,"Shy but loving, may take time to warm up but becomes deeply attached once comfortable. A loyal and sweet companion.",2,Female,Gray
Mia,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",4,Female,Black
Henry,"Calm and loving, this dog prefers lounging by your side but still enjoys occasional playtime. Very affectionate and great with families.",8,Female,Spotted
